goid,definition,ontology,term,number_of_transctipts,transcripts_id
GO:0003682,"Interacting selectively and non-covalently with chromatin, the network of fibers of DNA, protein, and sometimes RNA, that make up the chromosomes of the eukaryotic nucleus during interphase.",MF,chromatin binding,1,TRINITY_DN32759_c2_g2_i8
GO:0003700,Interacting selectively and non-covalently with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a gene in order to modulate transcription.,MF,DNA binding transcription factor activity,5,"TRINITY_DN29712_c3_g1_i1,TRINITY_DN29997_c4_g1_i3,TRINITY_DN31108_c4_g1_i4,TRINITY_DN36957_c0_g3_i8,TRINITY_DN36957_c0_g3_i10"
GO:0003723,Interacting selectively and non-covalently with an RNA molecule or a portion thereof.,MF,RNA binding,5,"TRINITY_DN32262_c0_g2_i4,TRINITY_DN34647_c5_g1_i5,TRINITY_DN30182_c2_g3_i2,TRINITY_DN38592_c1_g2_i2,TRINITY_DN31108_c4_g1_i4"
GO:0003727,Interacting selectively and non-covalently with single-stranded RNA.,MF,single-stranded RNA binding,1,TRINITY_DN30182_c2_g3_i2
GO:0003735,The action of a molecule that contributes to the structural integrity of the ribosome.,MF,structural constituent of ribosome,2,"TRINITY_DN35412_c0_g1_i12,TRINITY_DN27401_c0_g1_i1"
GO:0003779,"Interacting selectively and non-covalently with monomeric or multimeric forms of actin, including actin filaments.",MF,actin binding,1,TRINITY_DN38308_c1_g1_i11
GO:0003824,"Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.",MF,catalytic activity,1,TRINITY_DN31257_c3_g3_i1
GO:0003868,Catalysis of the reaction: 4-hydroxyphenylpyruvate + O2 = homogentisate + CO2.,MF,4-hydroxyphenylpyruvate dioxygenase activity,1,TRINITY_DN38821_c1_g2_i1
GO:0003899,"Catalysis of the reaction: nucleoside triphosphate + RNA(n) = diphosphate + RNA(n+1). Utilizes a DNA template, i.e. the catalysis of DNA-template-directed extension of the 3'-end of an RNA strand by one nucleotide at a time. Can initiate a chain 'de novo'.",MF,DNA-directed 5'-3' RNA polymerase activity,1,TRINITY_DN37662_c2_g4_i5
GO:0003924,Catalysis of the reaction: GTP + H2O = GDP + phosphate.,MF,GTPase activity,1,TRINITY_DN32833_c7_g2_i2
GO:0003950,Catalysis of the reaction: NAD+ + (ADP-D-ribosyl)(n)-acceptor = nicotinamide + (ADP-D-ribosyl)(n+1)-acceptor.,MF,NAD+ ADP-ribosyltransferase activity,1,TRINITY_DN39494_c1_g1_i6
GO:0003958,Catalysis of the reaction: NADPH + H+ + n oxidized hemoprotein = NADP+ + n reduced hemoprotein.,MF,NADPH-hemoprotein reductase activity,1,TRINITY_DN35290_c2_g2_i1
GO:0003987,Catalysis of the reaction: ATP + acetate + CoA = AMP + diphosphate + acetyl-CoA.,MF,acetate-CoA ligase activity,1,TRINITY_DN27224_c5_g3_i1
GO:0004031,Catalysis of the reaction: an aldehyde + H2O + O2 = a carboxylic acid + hydrogen peroxide.,MF,aldehyde oxidase activity,5,"TRINITY_DN38689_c2_g1_i10,TRINITY_DN38689_c2_g1_i7,TRINITY_DN38689_c2_g1_i6,TRINITY_DN38689_c2_g1_i1,TRINITY_DN38689_c2_g1_i14"
GO:0004175,"Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain.",MF,endopeptidase activity,1,TRINITY_DN33404_c1_g1_i6
GO:0004222,"Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which water acts as a nucleophile, one or two metal ions hold the water molecule in place, and charged amino acid side chains are ligands for the metal ions.",MF,metalloendopeptidase activity,3,"TRINITY_DN27765_c3_g2_i2,TRINITY_DN27765_c3_g2_i11,TRINITY_DN38269_c0_g1_i2"
GO:0004252,"Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine).",MF,serine-type endopeptidase activity,2,"TRINITY_DN33404_c1_g1_i6,TRINITY_DN33684_c0_g3_i1"
GO:0004372,"Catalysis of the reaction: 5,10-methylenetetrahydrofolate + glycine + H2O = tetrahydrofolate + L-serine.",MF,glycine hydroxymethyltransferase activity,1,TRINITY_DN32759_c2_g2_i8
GO:0004525,"Catalysis of the endonucleolytic cleavage of RNA with 5'-phosphomonoesters and 3'-OH termini; makes two staggered cuts in both strands of dsRNA, leaving a 3' overhang of 2 nt.",MF,ribonuclease III activity,1,TRINITY_DN28855_c8_g1_i1
GO:0004614,Catalysis of the reaction: alpha-D-glucose 1-phosphate = alpha-D-glucose 6-phosphate.,MF,phosphoglucomutase activity,1,TRINITY_DN34082_c0_g1_i5
GO:0004639,Catalysis of the reaction: 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate + L-aspartate + ATP = (2S)-2-[5-amino-1-(5-phospho-beta-D-ribosyl)imidazole-4-carboxamido]succinate + ADP + 2 H(+) + phosphate.,MF,phosphoribosylaminoimidazolesuccinocarboxamide synthase activity,1,TRINITY_DN34176_c2_g1_i4
GO:0004650,Catalysis of the random hydrolysis of (1->4)-alpha-D-galactosiduronic linkages in pectate and other galacturonans.,MF,polygalacturonase activity,1,TRINITY_DN35002_c3_g1_i13
GO:0004674,"Catalysis of the reactions: ATP + protein serine = ADP + protein serine phosphate, and ATP + protein threonine = ADP + protein threonine phosphate.",MF,protein serine/threonine kinase activity,1,TRINITY_DN36639_c5_g1_i5
GO:0004722,"Catalysis of the reaction: protein serine phosphate + H2O = protein serine + phosphate, and protein threonine phosphate + H2O = protein threonine + phosphate.",MF,protein serine/threonine phosphatase activity,1,TRINITY_DN32329_c8_g1_i1
GO:0004731,Catalysis of the reaction: purine nucleoside + phosphate = purine + alpha-D-ribose 1-phosphate.,MF,purine-nucleoside phosphorylase activity,1,TRINITY_DN30437_c0_g2_i2
GO:0004739,Catalysis of the reaction: pyruvate + lipoamide = S-acetyldihydrolipoamide + CO2.,MF,pyruvate dehydrogenase (acetyl-transferring) activity,1,TRINITY_DN35317_c1_g2_i1
GO:0004778,Catalysis of the reaction: H(2)O + succinyl-CoA = CoA + H(+) + succinate.,MF,succinyl-CoA hydrolase activity,1,TRINITY_DN33250_c6_g2_i6
GO:0004784,Catalysis of the reaction: 2 superoxide + 2 H+ = O2 + hydrogen peroxide.,MF,superoxide dismutase activity,1,TRINITY_DN32110_c0_g1_i4
GO:0004792,Catalysis of the reaction: hydrogen cyanide + thiosulfate = H(+) + sulfite + thiocyanate.,MF,thiosulfate sulfurtransferase activity,1,TRINITY_DN31257_c3_g3_i3
GO:0004797,Catalysis of the reaction: ATP + thymidine = ADP + thymidine 5'-phosphate.,MF,thymidine kinase activity,1,TRINITY_DN22402_c0_g1_i1
GO:0004825,Catalysis of the reaction: ATP + L-methionine + tRNA(Met) = AMP + diphosphate + L-methionyl-tRNA(Met).,MF,methionine-tRNA ligase activity,1,TRINITY_DN31996_c1_g1_i1
GO:0004830,Catalysis of the reaction: ATP + L-tryptophan + tRNA(Trp) = AMP + diphosphate + L-tryptophanyl-tRNA(Trp).,MF,tryptophan-tRNA ligase activity,1,TRINITY_DN29416_c6_g1_i6
GO:0004866,"Stops, prevents or reduces the activity of an endopeptidase, any enzyme that hydrolyzes nonterminal peptide bonds in polypeptides.",MF,endopeptidase inhibitor activity,1,TRINITY_DN27574_c4_g1_i5
GO:0004867,"Stops, prevents or reduces the activity of serine-type endopeptidases, enzymes that catalyze the hydrolysis of nonterminal peptide bonds in a polypeptide chain; a serine residue (and a histidine residue) are at the active center of the enzyme.",MF,serine-type endopeptidase inhibitor activity,2,"TRINITY_DN27574_c4_g1_i1,TRINITY_DN27574_c4_g1_i5"
GO:0004930,Combining with an extracellular signal and transmitting the signal across the membrane by activating an associated G-protein; promotes the exchange of GDP for GTP on the alpha subunit of a heterotrimeric G-protein complex.,MF,G-protein coupled receptor activity,1,TRINITY_DN39461_c1_g2_i1
GO:0005080,Interacting selectively and non-covalently with protein kinase C.,MF,protein kinase C binding,1,TRINITY_DN38269_c0_g1_i2
GO:0005102,"Interacting selectively and non-covalently with one or more specific sites on a receptor molecule, a macromolecule that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function.",MF,receptor binding,7,"TRINITY_DN35573_c2_g2_i7,TRINITY_DN34349_c3_g1_i1,TRINITY_DN28935_c0_g1_i13,TRINITY_DN38639_c3_g2_i2,TRINITY_DN29851_c3_g1_i2,TRINITY_DN29851_c3_g1_i10,TRINITY_DN33250_c6_g2_i6"
GO:0005178,Interacting selectively and non-covalently with an integrin.,MF,integrin binding,2,"TRINITY_DN30272_c0_g2_i3,TRINITY_DN38269_c0_g1_i2"
GO:0005198,The action of a molecule that contributes to the structural integrity of a complex or its assembly within or outside a cell.,MF,structural molecule activity,2,"TRINITY_DN32831_c1_g3_i3,TRINITY_DN29951_c4_g1_i1"
GO:0005200,The action of a molecule that contributes to the structural integrity of a cytoskeletal structure.,MF,structural constituent of cytoskeleton,1,TRINITY_DN38308_c1_g1_i11
GO:0005215,"Enables the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells.",MF,transporter activity,1,TRINITY_DN30272_c0_g2_i3
GO:0005254,Enables the facilitated diffusion of a chloride (by an energy-independent process) involving passage through a transmembrane aqueous pore or channel without evidence for a carrier-mediated mechanism.,MF,chloride channel activity,2,"TRINITY_DN29951_c4_g1_i1,TRINITY_DN39316_c4_g2_i2"
GO:0005262,Enables the facilitated diffusion of a calcium ion (by an energy-independent process) involving passage through a transmembrane aqueous pore or channel without evidence for a carrier-mediated mechanism.,MF,calcium channel activity,1,TRINITY_DN33236_c7_g5_i1
GO:0005351,Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: sugar(out) + H+(out) = sugar(in) + H+(in).,MF,sugar:proton symporter activity,1,TRINITY_DN34583_c2_g1_i4
GO:0005355,Enables the transfer of the hexose monosaccharide glucose from one side of a membrane to the other.,MF,glucose transmembrane transporter activity,1,TRINITY_DN34583_c2_g1_i4
GO:0005375,Enables the transfer of copper (Cu) ions from one side of a membrane to the other.,MF,copper ion transmembrane transporter activity,1,TRINITY_DN31817_c5_g1_i4
GO:0005427,"Enables the transfer of a oligopeptide from one side of a membrane to the other, up its concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction and is driven by proton movement.",MF,proton-dependent oligopeptide secondary active transmembrane transporter activity,1,TRINITY_DN30272_c0_g2_i3
GO:0005506,Interacting selectively and non-covalently with iron (Fe) ions.,MF,iron ion binding,6,"TRINITY_DN38689_c2_g1_i7,TRINITY_DN38689_c2_g1_i6,TRINITY_DN38689_c2_g1_i1,TRINITY_DN38689_c2_g1_i14,TRINITY_DN38689_c2_g1_i10,TRINITY_DN29783_c1_g5_i2"
GO:0005507,Interacting selectively and non-covalently with copper (Cu) ions.,MF,copper ion binding,1,TRINITY_DN32110_c0_g1_i4
GO:0005509,Interacting selectively and non-covalently with calcium ions (Ca2+).,MF,calcium ion binding,2,"TRINITY_DN30272_c0_g2_i3,TRINITY_DN38592_c1_g2_i2"
GO:0005516,"Interacting selectively and non-covalently with calmodulin, a calcium-binding protein with many roles, both in the calcium-bound and calcium-free states.",MF,calmodulin binding,1,TRINITY_DN38308_c1_g1_i11
GO:0005518,"Interacting selectively and non-covalently with collagen, a group of fibrous proteins of very high tensile strength that form the main component of connective tissue in animals. Collagen is highly enriched in glycine (some regions are 33% glycine) and proline, occurring predominantly as 3-hydroxyproline (about 20%).",MF,collagen binding,1,TRINITY_DN38269_c0_g1_i2
GO:0005524,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",MF,ATP binding,13,"TRINITY_DN22402_c0_g1_i1,TRINITY_DN38852_c1_g1_i12,TRINITY_DN38144_c0_g1_i3,TRINITY_DN34176_c2_g1_i4,TRINITY_DN39726_c9_g1_i2,TRINITY_DN37062_c5_g3_i11,TRINITY_DN36639_c5_g1_i1,TRINITY_DN31996_c1_g1_i1,TRINITY_DN29416_c6_g1_i6,TRINITY_DN39497_c5_g3_i1,TRINITY_DN27224_c5_g3_i1,TRINITY_DN31108_c4_g1_i4,TRINITY_DN32285_c2_g2_i4"
GO:0005525,"Interacting selectively and non-covalently with GTP, guanosine triphosphate.",MF,GTP binding,4,"TRINITY_DN34583_c2_g1_i7,TRINITY_DN39726_c9_g1_i2,TRINITY_DN32833_c7_g2_i2,TRINITY_DN31108_c4_g1_i4"
GO:0005543,"Interacting selectively and non-covalently with phospholipids, a class of lipids containing phosphoric acid as a mono- or diester.",MF,phospholipid binding,1,TRINITY_DN38308_c1_g1_i11
GO:0005576,The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite.,CC,extracellular region,11,"TRINITY_DN27574_c4_g1_i1,TRINITY_DN34349_c3_g1_i1,TRINITY_DN27574_c4_g1_i5,TRINITY_DN37251_c3_g4_i1,TRINITY_DN28504_c4_g1_i3,TRINITY_DN37061_c0_g2_i3,TRINITY_DN33253_c1_g2_i5,TRINITY_DN33253_c1_g2_i11,TRINITY_DN35002_c3_g1_i13,TRINITY_DN32983_c4_g1_i4,TRINITY_DN34583_c2_g1_i11"
GO:0005578,A layer consisting mainly of proteins (especially collagen) and glycosaminoglycans (mostly as proteoglycans) that forms a sheet underlying or overlying cells such as endothelial and epithelial cells. The proteins are secreted by cells in the vicinity. An example of this component is found in Mus musculus.,CC,proteinaceous extracellular matrix,3,"TRINITY_DN27765_c3_g2_i11,TRINITY_DN27765_c3_g2_i2,TRINITY_DN37251_c3_g4_i1"
GO:0005604,A thin layer of dense material found in various animal tissues interposed between the cells and the adjacent connective tissue. It consists of the basal lamina plus an associated layer of reticulin fibers.,CC,basement membrane,1,TRINITY_DN18051_c0_g1_i1
GO:0005615,"That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid.",CC,extracellular space,4,"TRINITY_DN33404_c1_g1_i6,TRINITY_DN38269_c0_g1_i2,TRINITY_DN25952_c0_g1_i10,TRINITY_DN38592_c1_g2_i2"
GO:0005622,"The living contents of a cell; the matter contained within (but not including) the plasma membrane, usually taken to exclude large vacuoles and masses of secretory or ingested material. In eukaryotes it includes the nucleus and cytoplasm.",CC,intracellular,3,"TRINITY_DN37062_c5_g3_i11,TRINITY_DN27765_c3_g2_i7,TRINITY_DN38592_c1_g2_i2"
GO:0005634,"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.",CC,nucleus,23,"TRINITY_DN37543_c0_g5_i1,TRINITY_DN37367_c1_g1_i2,TRINITY_DN39494_c1_g1_i6,TRINITY_DN27800_c4_g3_i8,TRINITY_DN30272_c0_g2_i3,TRINITY_DN34545_c4_g2_i5,TRINITY_DN32262_c0_g2_i4,TRINITY_DN29712_c3_g1_i1,TRINITY_DN28504_c4_g1_i3,TRINITY_DN34545_c4_g2_i6,TRINITY_DN37662_c2_g4_i5,TRINITY_DN38308_c1_g1_i11,TRINITY_DN35618_c0_g1_i5,TRINITY_DN37242_c1_g4_i1,TRINITY_DN33684_c0_g3_i1,TRINITY_DN32759_c2_g2_i8,TRINITY_DN29997_c4_g1_i3,TRINITY_DN30182_c2_g3_i2,TRINITY_DN38592_c1_g2_i2,TRINITY_DN32110_c0_g1_i4,TRINITY_DN36957_c0_g3_i10,TRINITY_DN36957_c0_g3_i8,TRINITY_DN32175_c3_g1_i2"
GO:0005635,"The double lipid bilayer enclosing the nucleus and separating its contents from the rest of the cytoplasm; includes the intermembrane space, a gap of width 20-40 nm (also called the perinuclear space).",CC,nuclear envelope,2,"TRINITY_DN32831_c1_g3_i3,TRINITY_DN28635_c3_g1_i3"
GO:0005637,"The inner, i.e. lumen-facing, lipid bilayer of the nuclear envelope.",CC,nuclear inner membrane,1,TRINITY_DN28635_c3_g1_i3
GO:0005654,That part of the nuclear content other than the chromosomes or the nucleolus.,CC,nucleoplasm,7,"TRINITY_DN27800_c4_g3_i8,TRINITY_DN29712_c3_g1_i1,TRINITY_DN32831_c1_g3_i3,TRINITY_DN37662_c2_g4_i5,TRINITY_DN30182_c2_g3_i2,TRINITY_DN31108_c4_g1_i4,TRINITY_DN30941_c5_g1_i1"
GO:0005666,"RNA polymerase III, one of three nuclear DNA-directed RNA polymerases found in all eukaryotes, is a multisubunit complex; typically it produces 5S rRNA, tRNAs and some of the small nuclear RNAs. Two large subunits comprise the most conserved portion including the catalytic site and share similarity with other eukaryotic and bacterial multisubunit RNA polymerases. The remainder of the complex is composed of smaller subunits (generally ten or more), some of which are also found in RNA polymerase I and others of which are also found in RNA polymerases I and II. Although the core is competent to mediate ribonucleic acid synthesis, it requires additional factors to select the appropriate template.",CC,DNA-directed RNA polymerase III complex,1,TRINITY_DN37662_c2_g4_i5
GO:0005681,"Any of a series of ribonucleoprotein complexes that contain snRNA(s) and small nuclear ribonucleoproteins (snRNPs), and are formed sequentially during the spliceosomal splicing of one or more substrate RNAs, and which also contain the RNA substrate(s) from the initial target RNAs of splicing, the splicing intermediate RNA(s), to the final RNA products. During cis-splicing, the initial target RNA is a single, contiguous RNA transcript, whether mRNA, snoRNA, etc., and the released products are a spliced RNA and an excised intron, generally as a lariat structure. During trans-splicing, there are two initial substrate RNAs, the spliced leader RNA and a pre-mRNA.",CC,spliceosomal complex,1,TRINITY_DN39424_c6_g1_i10
GO:0005730,"A small, dense body one or more of which are present in the nucleus of eukaryotic cells. It is rich in RNA and protein, is not bounded by a limiting membrane, and is not seen during mitosis. Its prime function is the transcription of the nucleolar DNA into 45S ribosomal-precursor RNA, the processing of this RNA into 5.8S, 18S, and 28S components of ribosomal RNA, and the association of these components with 5S RNA and proteins synthesized outside the nucleolus. This association results in the formation of ribonucleoprotein precursors; these pass into the cytoplasm and mature into the 40S and 60S subunits of the ribosome.",CC,nucleolus,6,"TRINITY_DN34545_c4_g2_i5,TRINITY_DN34545_c4_g2_i6,TRINITY_DN31996_c1_g1_i1,TRINITY_DN38308_c1_g1_i11,TRINITY_DN37242_c1_g4_i1,TRINITY_DN31108_c4_g1_i4"
GO:0005737,"All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.",CC,cytoplasm,31,"TRINITY_DN37543_c0_g5_i1,TRINITY_DN30437_c0_g2_i2,TRINITY_DN35774_c2_g2_i3,TRINITY_DN38144_c0_g1_i4,TRINITY_DN31522_c11_g2_i2,TRINITY_DN39494_c1_g1_i6,TRINITY_DN36639_c5_g1_i5,TRINITY_DN28504_c4_g1_i3,TRINITY_DN38689_c2_g1_i6,TRINITY_DN38689_c2_g1_i1,TRINITY_DN38689_c2_g1_i14,TRINITY_DN38689_c2_g1_i10,TRINITY_DN38689_c2_g1_i7,TRINITY_DN34545_c4_g2_i6,TRINITY_DN31996_c1_g1_i1,TRINITY_DN38308_c1_g1_i11,TRINITY_DN35618_c0_g1_i5,TRINITY_DN29851_c3_g1_i4,TRINITY_DN38269_c0_g1_i2,TRINITY_DN29416_c6_g1_i6,TRINITY_DN32759_c2_g2_i8,TRINITY_DN29997_c4_g1_i3,TRINITY_DN25952_c0_g1_i10,TRINITY_DN31817_c5_g1_i4,TRINITY_DN38592_c1_g2_i2,TRINITY_DN32110_c0_g1_i4,TRINITY_DN31108_c4_g1_i4,TRINITY_DN28855_c8_g1_i1,TRINITY_DN36957_c0_g3_i8,TRINITY_DN36957_c0_g3_i10,TRINITY_DN32175_c3_g1_i2"
GO:0005739,"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration.",CC,mitochondrion,8,"TRINITY_DN35317_c1_g2_i1,TRINITY_DN31257_c3_g3_i2,TRINITY_DN31996_c1_g1_i1,TRINITY_DN35618_c0_g1_i5,TRINITY_DN29783_c1_g5_i2,TRINITY_DN28573_c6_g1_i1,TRINITY_DN29851_c3_g1_i8,TRINITY_DN32759_c2_g2_i8"
GO:0005741,"The outer, i.e. cytoplasm-facing, lipid bilayer of the mitochondrial envelope.",CC,mitochondrial outer membrane,2,"TRINITY_DN36639_c5_g1_i1,TRINITY_DN29783_c1_g5_i2"
GO:0005743,"The inner, i.e. lumen-facing, lipid bilayer of the mitochondrial envelope. It is highly folded to form cristae.",CC,mitochondrial inner membrane,2,"TRINITY_DN35618_c0_g1_i5,TRINITY_DN32759_c2_g2_i8"
GO:0005759,"The gel-like material, with considerable fine structure, that lies in the matrix space, or lumen, of a mitochondrion. It contains the enzymes of the tricarboxylic acid cycle and, in some organisms, the enzymes concerned with fatty acid oxidation.",CC,mitochondrial matrix,2,"TRINITY_DN35317_c1_g2_i1,TRINITY_DN32759_c2_g2_i8"
GO:0005765,The lipid bilayer surrounding the lysosome and separating its contents from the cell cytoplasm.,CC,lysosomal membrane,1,TRINITY_DN32831_c1_g3_i3
GO:0005768,A vacuole to which materials ingested by endocytosis are delivered.,CC,endosome,1,TRINITY_DN33994_c1_g3_i4
GO:0005770,"A prelysosomal endocytic organelle differentiated from early endosomes by lower lumenal pH and different protein composition. Late endosomes are more spherical than early endosomes and are mostly juxtanuclear, being concentrated near the microtubule organizing center.",CC,late endosome,1,TRINITY_DN31817_c5_g1_i4
GO:0005774,The lipid bilayer surrounding the vacuole and separating its contents from the cytoplasm of the cell.,CC,vacuolar membrane,1,TRINITY_DN33201_c5_g1_i5
GO:0005776,A double-membrane-bounded compartment that engulfs endogenous cellular material as well as invading microorganisms to target them to the lytic vacuole/lysosome for degradation as part of macroautophagy.,CC,autophagosome,1,TRINITY_DN36639_c5_g1_i5
GO:0005777,"A small organelle enclosed by a single membrane, and found in most eukaryotic cells. Contains peroxidases and other enzymes involved in a variety of metabolic processes including free radical detoxification, lipid catabolism and biosynthesis, and hydrogen peroxide metabolism.",CC,peroxisome,3,"TRINITY_DN29851_c3_g1_i10,TRINITY_DN29851_c3_g1_i2,TRINITY_DN33250_c6_g2_i6"
GO:0005783,"The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached).",CC,endoplasmic reticulum,5,"TRINITY_DN28935_c0_g1_i13,TRINITY_DN38028_c2_g1_i3,TRINITY_DN30463_c6_g1_i5,TRINITY_DN34192_c3_g1_i2,TRINITY_DN28635_c3_g1_i3"
GO:0005789,The lipid bilayer surrounding the endoplasmic reticulum.,CC,endoplasmic reticulum membrane,10,"TRINITY_DN38700_c1_g1_i1,TRINITY_DN35290_c2_g2_i1,TRINITY_DN36639_c5_g1_i1,TRINITY_DN32831_c1_g3_i3,TRINITY_DN39588_c6_g1_i8,TRINITY_DN38028_c2_g1_i3,TRINITY_DN39536_c12_g7_i1,TRINITY_DN34192_c3_g1_i2,TRINITY_DN28635_c3_g1_i3,TRINITY_DN38821_c1_g2_i1"
GO:0005794,"A compound membranous cytoplasmic organelle of eukaryotic cells, consisting of flattened, ribosome-free vesicles arranged in a more or less regular stack. The Golgi apparatus differs from the endoplasmic reticulum in often having slightly thicker membranes, appearing in sections as a characteristic shallow semicircle so that the convex side (cis or entry face) abuts the endoplasmic reticulum, secretory vesicles emerging from the concave side (trans or exit face). In vertebrate cells there is usually one such organelle, while in invertebrates and plants, where they are known usually as dictyosomes, there may be several scattered in the cytoplasm. The Golgi apparatus processes proteins produced on the ribosomes of the rough endoplasmic reticulum; such processing includes modification of the core oligosaccharides of glycoproteins, and the sorting and packaging of proteins for transport to a variety of cellular locations. Three different regions of the Golgi are now recognized both in terms of structure and function: cis, in the vicinity of the cis face, trans, in the vicinity of the trans face, and medial, lying between the cis and trans regions.",CC,Golgi apparatus,5,"TRINITY_DN27800_c4_g3_i8,TRINITY_DN36762_c3_g1_i6,TRINITY_DN28935_c0_g1_i13,TRINITY_DN38028_c2_g1_i3,TRINITY_DN30463_c6_g1_i5"
GO:0005797,The middle Golgi cisterna (or cisternae).,CC,Golgi medial cisterna,1,TRINITY_DN28935_c0_g1_i13
GO:0005819,The array of microtubules and associated molecules that forms between opposite poles of a eukaryotic cell during mitosis or meiosis and serves to move the duplicated chromosomes apart.,CC,spindle,1,TRINITY_DN32175_c3_g1_i2
GO:0005829,"The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes.",CC,cytosol,16,"TRINITY_DN38700_c1_g1_i1,TRINITY_DN39494_c1_g1_i6,TRINITY_DN27800_c4_g3_i8,TRINITY_DN31257_c3_g3_i3,TRINITY_DN34545_c4_g2_i5,TRINITY_DN36639_c5_g1_i5,TRINITY_DN32831_c1_g3_i3,TRINITY_DN34545_c4_g2_i6,TRINITY_DN31996_c1_g1_i1,TRINITY_DN34082_c0_g1_i5,TRINITY_DN34647_c5_g1_i5,TRINITY_DN29851_c3_g1_i2,TRINITY_DN29851_c3_g1_i10,TRINITY_DN30182_c2_g3_i2,TRINITY_DN38592_c1_g2_i2,TRINITY_DN30941_c5_g1_i1"
GO:0005840,"An intracellular organelle, about 200 A in diameter, consisting of RNA and protein. It is the site of protein biosynthesis resulting from translation of messenger RNA (mRNA). It consists of two subunits, one large and one small, each containing only protein and RNA. Both the ribosome and its subunits are characterized by their sedimentation coefficients, expressed in Svedberg units (symbol: S). Hence, the prokaryotic ribosome (70S) comprises a large (50S) subunit and a small (30S) subunit, while the eukaryotic ribosome (80S) comprises a large (60S) subunit and a small (40S) subunit. Two sites on the ribosomal large subunit are involved in translation, namely the aminoacyl site (A site) and peptidyl site (P site). Ribosomes from prokaryotes, eukaryotes, mitochondria, and chloroplasts have characteristically distinct ribosomal proteins.",CC,ribosome,2,"TRINITY_DN35412_c0_g1_i12,TRINITY_DN27401_c0_g1_i1"
GO:0005856,"Any of the various filamentous elements that form the internal framework of cells, and typically remain after treatment of the cells with mild detergent to remove membrane constituents and soluble components of the cytoplasm. The term embraces intermediate filaments, microfilaments, microtubules, the microtrabecular lattice, and other structures characterized by a polymeric filamentous nature and long-range order within the cell. The various elements of the cytoskeleton not only serve in the maintenance of cellular shape but also have roles in other cellular functions, including cellular movement, cell division, endocytosis, and movement of organelles.",CC,cytoskeleton,2,"TRINITY_DN37543_c0_g5_i1,TRINITY_DN30437_c0_g2_i2"
GO:0005874,"Any of the long, generally straight, hollow tubes of internal diameter 12-15 nm and external diameter 24 nm found in a wide variety of eukaryotic cells; each consists (usually) of 13 protofilaments of polymeric tubulin, staggered in such a manner that the tubulin monomers are arranged in a helical pattern on the microtubular surface, and with the alpha/beta axes of the tubulin subunits parallel to the long axis of the tubule; exist in equilibrium with pool of tubulin monomers and can be rapidly assembled or disassembled in response to physiological stimuli; concerned with force generation, e.g. in the spindle.",CC,microtubule,1,TRINITY_DN32175_c3_g1_i2
